Theta (degrees),Ps - Pinf,Dynamic Pressure (q),Cp Theoretical (Corrected),Cp Experimental,Error (Cp Exp - Cp Theo)
0,399.99999999999994,439.99999999999994,1.0,0.9090909090909091,0.09090909090909094
10,359.99999999999994,439.99999999999994,0.8793852415718167,0.8181818181818181,0.061203423389998624
20,260.0,439.99999999999994,0.5320888862379561,0.5909090909090909,0.0588202046711348
30,60.0,439.99999999999994,2.220446049250313e-16,0.13636363636363638,0.13636363636363616
40,-140.0,439.99999999999994,-0.652703644666139,-0.31818181818181823,0.3345218264843207
50,-280.0,439.99999999999994,-1.3472963553338606,-0.6363636363636365,0.7109327189702241
60,-540.0,439.99999999999994,-1.9999999999999996,-1.2272727272727275,0.772727272727272
70,-560.0,439.99999999999994,-2.5320888862379554,-1.272727272727273,1.2593616135106824
80,-520.0,439.99999999999994,-2.8793852415718164,-1.1818181818181819,1.6975670597536345
90,-540.0,439.99999999999994,-3.0,-1.2272727272727275,1.7727272727272725
100,-500.0,439.99999999999994,-2.8793852415718164,-1.1363636363636365,1.74302160520818
110,-500.0,439.99999999999994,-2.5320888862379562,-1.1363636363636365,1.3957252498743198
120,-540.0,439.99999999999994,-2.0000000000000004,-1.2272727272727275,0.7727272727272729
130,-540.0,439.99999999999994,-1.3472963553338606,-1.2272727272727275,0.12002362806113309
140,-540.0,439.99999999999994,-0.6527036446661401,-1.2272727272727275,0.5745690826065875
150,-480.0,439.99999999999994,2.220446049250313e-16,-1.090909090909091,1.0909090909090913
160,-480.0,439.99999999999994,0.5320888862379557,-1.090909090909091,1.6229979771470466
170,-540.0,439.99999999999994,0.8793852415718169,-1.2272727272727275,2.1066579688445444
180,-540.0,439.99999999999994,1.0,-1.2272727272727275,2.2272727272727275
190,-540.0,439.99999999999994,0.8793852415718166,-1.2272727272727275,2.1066579688445444
200,-540.0,439.99999999999994,0.5320888862379562,-1.2272727272727275,1.7593616135106838
210,-540.0,439.99999999999994,-4.440892098500626e-16,-1.2272727272727275,1.227272727272727
220,-540.0,439.99999999999994,-0.652703644666139,-1.2272727272727275,0.5745690826065886
230,-540.0,439.99999999999994,-1.3472963553338597,-1.2272727272727275,0.1200236280611322
240,-540.0,439.99999999999994,-1.9999999999999987,-1.2272727272727275,0.7727272727272712
250,-500.0,439.99999999999994,-2.5320888862379562,-1.1363636363636365,1.3957252498743198
260,-500.0,439.99999999999994,-2.8793852415718164,-1.1363636363636365,1.74302160520818
270,-500.0,439.99999999999994,-3.0,-1.1363636363636365,1.8636363636363635
280,-520.0,439.99999999999994,-2.8793852415718173,-1.1818181818181819,1.6975670597536354
290,-640.0,439.99999999999994,-2.5320888862379554,-1.4545454545454548,1.0775434316925006
300,-480.0,439.99999999999994,-1.9999999999999996,-1.090909090909091,0.9090909090909085
310,-320.0,439.99999999999994,-1.347296355333861,-0.7272727272727274,0.6200236280611336
320,-80.00000000000001,439.99999999999994,-0.6527036446661407,-0.18181818181818188,0.47088546284795885
330,60.0,439.99999999999994,-1.7763568394002505e-15,0.13636363636363638,0.13636363636363816
340,320.0,439.99999999999994,0.5320888862379565,0.7272727272727274,0.19518384103477093
350,420.00000000000006,439.99999999999994,0.8793852415718167,0.9545454545454548,0.07516021297363806
